epoch,loss
1,3.415880
2,0.536801
3,0.281877
4,0.240393
5,0.222210
6,0.211950
7,0.204396
8,0.199352
9,0.193797
10,0.186613
11,0.181416
12,0.178339
13,0.175761
14,0.174292
15,0.172400
16,0.171064
17,0.169519
18,0.167810
19,0.166796
20,0.165467
21,0.164393
22,0.163354
23,0.162286
24,0.161213
25,0.160438
26,0.159502
27,0.158429
28,0.157806
29,0.157336
30,0.156231
31,0.155708
32,0.155181
33,0.154642
34,0.153840
35,0.153442
36,0.153174
37,0.152359
38,0.152070
39,0.151659
40,0.151159
41,0.150832
42,0.150349
43,0.150001
44,0.149558
45,0.149369
46,0.149057
47,0.148724
48,0.148414
49,0.148136
50,0.147838
51,0.147628
52,0.147403
53,0.147123
54,0.146905
55,0.146596
56,0.146358
57,0.146082
58,0.145916
59,0.145697
60,0.145500
61,0.145436
62,0.145152
63,0.144898
64,0.144832
65,0.144589
66,0.144402
67,0.144337
68,0.144184
69,0.143925
70,0.143872
71,0.143538
72,0.143373
73,0.143351
74,0.143140
75,0.143054
76,0.142914
77,0.142749
78,0.142667
79,0.142568
80,0.142431
81,0.142361
82,0.142091
83,0.142082
84,0.141800
85,0.141750
86,0.141693
87,0.141764
88,0.141546
89,0.141282
90,0.141332
91,0.141234
92,0.141056
93,0.140966
94,0.140859
95,0.140919
96,0.140864
97,0.140679
98,0.140613
99,0.140502
100,0.140390
